,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
1,257314,2013,Tuolumne,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,Rim Fire,2013-08-17T15:25:00Z,0.627287598
2,30274,2013,Los Angeles,2013-06-08T18:30:00Z,Angeles National Forest,Powerhouse Fire,2013-05-30T15:28:00Z,0.073802843
3,27531,2013,Riverside,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,Mountain Fire,2013-07-15T13:43:00Z,0.067115877
4,27440,2013,Placer,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",American Fire,2013-08-10T16:30:00Z,0.066894035
5,24251,2013,Ventura,2013-05-11T06:30:00Z,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",Springs Fire,2013-05-02T07:01:00Z,0.059119797
6,22992,2013,Fresno,2013-09-24T20:15:00Z,Seven miles north of Big Creek,Aspen Fire,2013-07-22T22:15:00Z,0.05605057
7,20292,2013,Riverside,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",Silver Fire,2013-08-07T14:05:00Z,0.049468431
8,14754,2013,Siskiyou,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",Salmon River Complex,2013-07-31T22:00:00Z,0.035967733
9,12503,2013,Humboldt,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,Corral Complex,2013-08-10T11:40:00Z,0.030480179
10,11429,2013,Tehama,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",Deer Fire,2013-08-23T14:15:00Z,0.027861951
11,8073,2013,Shasta,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",Clover Fire,2013-09-09T12:32:00Z,0.019680596
12,7055,2013,San Diego,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",Chariot Fire,2013-07-06T12:55:00Z,0.017198885
13,6965,2013,Tehama,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",Panther Fire,2013-05-01T09:12:00Z,0.016979481
14,4346,2013,Kern,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,2013-05-15T12:50:00Z,0.010594806
15,4346,2013,Ventura,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",Grand Fire,2013-05-15T12:50:00Z,0.010594806
16,3505,2013,Sonoma,2013-11-27T18:15:00Z,"The Geysers area, 10 miles northeast of Geyserville",McCabe Fire,2013-11-22T02:04:00Z,0.008544592
17,3166,2013,Riverside,2013-05-04T18:30:00Z,Mias Canyon and Bluff Road in Banning,Summit Fire,2013-05-01T12:38:00Z,0.007718167
18,3111,2013,Contra Costa,2013-09-14T17:30:00Z,"off Morgan Territory Road, Southeast of Clayton",Morgan Fire,2013-09-08T13:08:00Z,0.007584087
19,2781,2013,San Diego,2013-05-26T17:45:00Z,"San Felipe Road, north of Highway 78, East of Julian",San Felipe Fire,2013-05-23T12:20:00Z,0.006779603
20,2462,2013,Butte,2013-08-22T18:00:00Z,southeast of Oroville,Swedes Fire,2013-08-16T16:37:00Z,0.006001936
21,2236,2013,San Diego,2013-10-09T19:00:00Z,"On Camp Pendleton, west of Fallbrook",DeLuz Fire,2013-10-05T12:45:00Z,0.005450986
22,2060,2013,Tulare,2013-09-24T20:15:00Z,Golden Trout Wilderness on the Sequoia National Forest.,Fish Fire,2013-08-24T14:31:00Z,0.005021928
23,1984,2013,Santa Barbara,2013-05-30T19:30:00Z,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",White Fire,2013-05-27T14:45:00Z,0.004836653
24,1708,2013,Mariposa,2013-06-26T11:15:00Z,"Off Carstens Road, east of 140 in the Midpines area.",Carstens Fire,2013-06-16T14:12:00Z,0.004163812
25,1383,2013,Riverside,2013-08-09T18:45:00Z,"Ortega Highway, west of Lake Elsinoire",Falls Fire,2013-08-05T10:10:00Z,0.003371518
26,1271,2013,San Diego,2013-05-31T06:15:00Z,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",General Fire,2013-05-26T12:04:00Z,0.003098481
27,1070,2013,Tuolumne,2013-08-14T08:30:00Z,"Near Beardsley Lake, northeast of Sonora",Power Fire,2013-08-05T06:00:00Z,0.002608477
28,917,2013,Monterey,2013-12-20T20:00:00Z,Pfeiffer Ridge Road and Highway 1 near Big Sur,Pfeiffer Fire,2013-12-16T00:20:00Z,0.002235489
29,794,2013,Kern,2013-08-24T13:45:00Z,Lower Kern River Canyon area off Highway 178,Shirley Fire,2013-08-18T23:12:00Z,0.001935636
30,712,2013,Kern,2013-07-22T18:45:00Z,West side of Interstate 5 in Lebec (Kern County),Rancho Fire,2013-07-19T12:00:00Z,0.001735734
31,712,2013,Los Angeles,2013-05-18T19:00:00Z,I-5 Southbound at Lake Hughes Road,Lake Fire,2013-05-17T13:23:00Z,0.001735734
32,612,2013,Kern,2013-07-25T18:30:00Z,West side of Interstate 5 at Tejon Ranch,Water Fire,2013-07-23T09:15:00Z,0.001491952
33,572,2013,El Dorado,2013-07-11T18:30:00Z,"Off Hwy 50 at 30 Mile Tract, Kyburz",Kyburz Fire,2013-07-08T12:45:00Z,0.001394438
34,534,2013,San Bernardino,2013-07-01T06:00:00Z,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",Mills Fire,2013-06-28T14:30:00Z,0.001301801
35,513,2013,Plumas,2013-08-25T13:15:00Z,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,Plumas Lightning Complex (Hough),2013-08-18T18:30:00Z,0.001250606
36,510,2013,Riverside,2013-05-05T18:45:00Z,"Highway 243, south of Banning and north of Pine Cove",Gorgonio Fire,2013-05-04T11:43:00Z,0.001243293
37,502,2013,Modoc,2013-07-05T18:30:00Z,5 miles northwest of Aiden,Fox Fire (formally 3-7 Fire),2013-07-03T22:56:00Z,0.00122379
38,500,2013,San Luis Obispo,2013-06-03T18:30:00Z,"west of the Carrizo Plain, Los Padres National Forest",Branch Fire,2013-06-01T17:27:00Z,0.001218915
39,492,2013,Contra Costa,2013-07-01T18:40:00Z,Kirker Pass Road south of Pittsburg,Kirker Fire,2013-07-01T13:19:00Z,0.001199412
40,482,2013,Madera,2013-06-18T19:30:00Z,"off Hwy 41 & Road 145, northwest of Friant ",Rolling Fire,2013-06-16T18:17:00Z,0.001175034
41,413,2013,San Bernardino,2013-08-20T13:32:00Z,upper end of Lytle Creek,Gobblers Fire,2013-08-20T13:32:00Z,0.001006823
42,406,2013,Inyo,2013-02-28T20:00:00Z,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",River Fire,2013-02-24T08:16:00Z,0.000989759
43,376,2013,Napa,2013-10-04T16:55:00Z,off Berryessa Knoxville Rd near Lake Berryessa,Putah Fire,2013-10-03T20:33:00Z,0.000916624
44,354,2013,San Benito,2013-05-03T18:45:00Z,"Highway 25 and Horizon Rd, Community of Tres ",Tres Pinos Fire,2013-05-03T11:42:00Z,0.000862992
45,311,2013,Riverside,2013-03-02T19:00:00Z,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",Jurupa Fire,2013-02-28T16:43:00Z,0.000758165
46,305,2013,Butte,2013-10-05T22:00:00Z,off District Center Dr & Fortune Way in Palermo,Summit Fire,2013-10-04T17:37:00Z,0.000743538
47,303,2013,San Joaquin,2013-05-30T13:25:00Z,off North Shelton Rd in the Linden Peters area,Shelton Fire,2013-05-30T11:20:00Z,0.000738662
48,298,2013,Butte,2013-06-03T20:00:00Z,Palermo Road and Lone Tree Road near Palermo,Lone Fire,2013-06-03T13:49:00Z,0.000726473
49,296,2013,Lake,2013-01-23T10:15:00Z,"North of Highway 29, southeast of Kelseyville",Becks Fire,2013-01-22T11:08:00Z,0.000721597
50,274,2013,Contra Costa,2013-07-01T18:30:00Z,off Concord Ave & Vineyard Parkway in Brentwood,Concord Fire,2013-07-01T15:41:00Z,0.000667965
51,274,2013,Madera,2013-05-01T07:00:00Z,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,Gold Fire,2013-04-30T12:59:00Z,0.000667965
52,268,2013,Los Angeles,2013-09-28T08:00:00Z,San Gabriel Canyon 1/4 mile west of the entrance station,Madre Fire,2013-09-23T18:00:00Z,0.000653338
53,263,2013,San Diego,2013-09-12T18:15:00Z,"Four Corners, Lyons Valley Road, east of Lyons Peak",Lyon Fire,2013-09-09T13:09:00Z,0.000641149
54,243,2013,San Bernardino,2013-08-13T23:45:00Z,Sheep canyon just south of Wrightwood,Sharp Fire,2013-08-08T12:15:00Z,0.000592393
55,240,2013,Alameda,2013-06-08T13:25:00Z,"off Vasco Road & North Vasco Road, north of Livermore",Vasco Fire,2013-06-08T10:16:00Z,0.000585079
56,237,2013,Placer,2013-06-13T14:15:00Z,"PFE Road and Watt Avenue, West Roseville",PFE Fire,2013-06-13T11:28:00Z,0.000577766
57,226,2013,Glenn,2013-06-17T09:00:00Z,15 miles northwest of Elk Creek off County Road 306,Daves Fire,2013-06-12T15:17:00Z,0.000550949
58,217,2013,Glenn,2013-05-05T18:00:00Z,2 miles south of the community of Elk Creek,306 Fire,2013-05-01T19:00:00Z,0.000529009
59,213,2013,Monterey,2013-07-17T19:30:00Z,"Tassajara Hot Springs, near the Zen Center",Tassajara Fire,2013-07-17T13:23:00Z,0.000519258
60,200,2013,San Bernardino,2013-09-30T08:30:00Z,in the Cajon Pass west of I-15 near Glen Helen Road,Sierra Fire,2013-09-24T15:51:00Z,0.000487566
61,200,2013,Tehama,2013-07-04T10:30:00Z,"Tehama-Vina Rd and Sherman Rd, Los Molinos",Vina Fire,2013-07-04T07:30:00Z,0.000487566
62,196,2013,Shasta,2013-08-23T19:15:00Z,Fall River Mills and McAruther area,Burney Lightning Series (Warner Fire),2013-08-19T17:48:00Z,0.000477815
63,195,2013,Tehama,2013-07-19T15:00:00Z,West of Corning,Paskenta Fire,2013-07-19T13:32:00Z,0.000475377
64,190,2013,Napa,2013-11-23T18:30:00Z,Off Silverado Trail in the Soda Canyon area near Napa,Silverado Fire,2013-11-21T21:39:00Z,0.000463188
65,170,2013,Santa Barbara,2013-05-29T10:30:00Z,"Hwy 246 and Meadowvale, East of Solvang ",Olive Fire,2013-05-28T15:24:00Z,0.000414431
66,163,2013,Yolo,2013-11-04T15:35:00Z,"Off County Road 23 & County Road 81, Southwest of Esparto",Capay Fire,2013-11-04T11:41:00Z,0.000397366
67,163,2013,El Dorado,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,50 Fire,2013-07-19T14:12:00Z,0.000397366
68,163,2013,Sacramento,2013-07-19T17:15:00Z,South of Hwy 50 at the El Dorado and Sacramento County line,50 Fire,2013-07-19T14:12:00Z,0.000397366
69,159,2013,Sonoma,2013-10-05T07:45:00Z,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",Crane Fire,2013-10-04T12:25:00Z,0.000387615
70,158,2013,Sonoma,2013-07-26T17:45:00Z,"Off Lakeville Hwy, 6 miles SE of Petaluma",Lakeville Fire,2013-07-26T13:45:00Z,0.000385177
71,150,2013,Alameda,2013-10-04T10:30:00Z,"Highland Road, Livermore",Highland Fire,2013-10-04T07:35:00Z,0.000365674
72,150,2013,Riverside,2013-07-17T07:45:00Z,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",Redlands Fire,2013-07-16T17:48:00Z,0.000365674
73,150,2013,Stanislaus,2013-07-13T21:45:00Z,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",Diablo Fire,2013-07-12T15:35:00Z,0.000365674
74,150,2013,Fresno,2013-06-25T17:15:00Z,off Bronco Lane in Squaw Valley,George Fire,2013-06-25T13:36:00Z,0.000365674
75,150,2013,Butte,2013-05-22T09:30:00Z,"Neal Road, southwest of Paradise",Neal Fire,2013-05-22T00:56:00Z,0.000365674
76,149,2013,Los Angeles,2013-05-29T15:30:00Z,off Magic Mtn Parkway in Valencia,Magic Fire,2013-05-28T11:30:00Z,0.000363237
77,134,2013,Tulare,2013-09-24T20:15:00Z,Golden Trout Wilderness,Angora Fire,2013-09-08T11:53:00Z,0.000326669
78,125,2013,Sonoma,2013-05-03T06:15:00Z,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",Yellow Fire,2013-05-01T02:01:00Z,0.000304729
79,124,2013,Solano,2013-06-18T22:30:00Z,"Off Lake Herman Rd, west of Hwy 680 in Benicia",California Fire,2013-06-18T15:18:00Z,0.000302291
80,124,2013,Merced,2013-06-05T08:30:00Z,Hwy 152 in San Luis Creek Reservoir,152 Fire,2013-06-04T15:42:00Z,0.000302291
81,124,2013,Riverside,2013-05-25T23:00:00Z,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",Smiley Fire,2013-05-25T14:59:00Z,0.000302291
82,120,2013,Lake,2013-11-10T18:30:00Z,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",Cantwell Fire,2013-11-08T13:42:00Z,0.00029254
83,116,2013,El Dorado,2013-08-16T17:55:00Z,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",Union Fire,2013-08-16T13:55:00Z,0.000282788
84,110,2013,San Bernardino,2013-08-18T20:55:00Z,I-15 Cajon Pass south of Cleghorn Road,Cleghorn Fire,2013-08-17T17:25:00Z,0.000268161
85,108,2013,Fresno,2013-06-13T21:30:00Z,"Clinton and Highland, East of Fresno",Clinton Fire,2013-06-13T11:54:00Z,0.000263286
86,105,2013,Monterey,2013-06-29T18:30:00Z,"off Hwy 198, 10 miles east of King City",Freeman Fire,2013-06-29T14:09:00Z,0.000255972
87,100,2013,Los Angeles,2013-08-11T19:15:00Z,San Francisquito Canyon Rd & Stator Ln,Bee Fire,2013-08-09T17:15:00Z,0.000243783
88,100,2013,Tuolumne,2013-06-02T16:55:00Z,off Lime Kiln Rd,Murphy Fire,2013-06-02T13:30:00Z,0.000243783
89,100,2013,San Diego,2013-05-23T08:30:00Z,Off Alta Rd in the Otay Mesa area,Border Fire,2013-05-22T16:14:00Z,0.000243783
90,98,2013,Mendocino,2013-09-29T18:15:00Z,"off Highland Springs Rd, southeast of Kelseyville",Highland Fire,2013-09-28T13:57:00Z,0.000238907
91,97,2013,Modoc,2013-09-24T20:15:00Z,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",Davis Creek Complex,2013-09-05T15:57:00Z,0.000236469
92,97,2013,San Bernardino,2013-08-30T08:00:00Z,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,Little Fire,2013-08-24T15:09:00Z,0.000236469
93,97,2013,Lassen,2013-08-12T09:30:00Z,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",Coyote Fire,2013-08-09T15:51:00Z,0.000236469
94,96,2013,Amador,2013-06-13T09:45:00Z,"Roadrunner Drive, south of Ione",Roadrunner Fire,2013-06-12T16:43:00Z,0.000234032
95,94,2013,San Luis Obispo,2013-09-24T17:30:00Z,"off Toro Creek Rd, east of Cayucos",Creek Fire,2013-09-24T03:20:00Z,0.000229156
96,92,2013,Butte,2013-08-04T14:45:00Z,Near Rocky Peak - North Fork Lake Oroville near Cherokee,Branch Fire,2013-08-01T16:01:00Z,0.00022428
97,91,2013,Madera,2013-05-20T19:10:00Z,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,Lilly 2 Fire,2013-05-19T15:07:00Z,0.000221842
98,90,2013,Riverside,2013-05-21T19:30:00Z,Off Whitewater Canyon Road in Whitewater,Water Fire,2013-05-21T14:16:00Z,0.000219405
99,85,2013,San Luis Obispo,2013-07-07T22:00:00Z,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",Adelaida Fire,2013-07-07T13:16:00Z,0.000207215
100,82,2013,Mendocino,2013-11-22T17:30:00Z,"Off Hwy 101 at Henry Station Rd, north of Hopland",Retek Fire,2013-11-22T10:06:00Z,0.000199902
101,80,2013,Butte,2013-09-01T18:00:00Z,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",Centerville Fire,2013-08-31T17:23:00Z,0.000195026
102,80,2013,Fresno,2013-04-09T15:30:00Z,Butte Ave near Conejo Ave near the community of Helm.,Butte Fire,2013-04-09T12:35:00Z,0.000195026
103,75,2013,Tehama,2013-09-15T19:00:00Z,East of Molinos,Tehama Fire,2013-09-15T17:39:00Z,0.000182837
104,75,2013,San Bernardino,2013-07-26T18:15:00Z, Hwy 138 west of Hwy 173,Silverwood Fire,2013-07-25T15:09:00Z,0.000182837
105,75,2013,Madera,2013-06-14T16:30:00Z,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,Revis Fire,2013-06-12T16:40:00Z,0.000182837
106,75,2013,San Bernardino,2013-05-15T08:15:00Z,"I-15 at Sierra Ave, near Lytle Creek",Lytle Fire,2013-05-13T13:30:00Z,0.000182837
107,75,2013,Napa,2013-05-01T17:15:00Z,"7300 block of Silverado Trail, north of Napa",Silverado Fire,2013-04-30T23:44:00Z,0.000182837
108,73,2013,San Bernardino,2013-09-12T08:45:00Z,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",Liveoak Fire,2013-09-11T16:57:00Z,0.000177962
109,73,2013,Yuba,2013-07-08T17:30:00Z,"off Highway 20 and McGanney Lane, west of Smartsville",McGanney Fire,2013-07-08T09:59:00Z,0.000177962
110,72,2013,Butte,2013-05-04T19:00:00Z,"Off Cedar Creek Loop Rd, South of Butte Meadows",Cedar Fire,2013-05-01T04:16:00Z,0.000175524
111,70,2013,Lake,2013-08-18T18:30:00Z,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",Double Fire,2013-08-16T17:57:00Z,0.000170648
112,68,2013,Modoc,2013-09-05T21:00:00Z,"Rail Mountain, 7 miles NW of Canby",Rail Fire,2013-09-07T17:30:00Z,0.000165772
113,64,2013,Ventura,2013-11-15T16:00:00Z,"Wheeler Canyon, north of Santa Paula",Wheeler Fire,2013-11-14T11:05:00Z,0.000156021
114,60,2013,Riverside,2013-08-08T09:00:00Z,Off of Hwy 111 & Tramway Rd in Palm Springs,Tram Fire,2013-08-06T13:39:00Z,0.00014627
115,60,2013,Riverside,2013-08-04T18:00:00Z,"near Mt. David, south of Beaumont",Relay Fire,2013-08-04T16:29:00Z,0.00014627
116,52,2013,Nevada,2013-08-31T21:30:00Z,"North San Juan Area, Highway 49 and Tyler Foote Road",Tyler Fire,2013-08-31T14:42:00Z,0.000126767
117,51,2013,San Luis Obispo,2013-11-09T17:00:00Z,"Toro Creek Rd. and Hwy 41 West, Morro Bay",Toro Fire,2013-11-08T10:30:00Z,0.000124329
118,50,2013,Lake,2013-11-24T08:45:00Z,"Off Bruner Drive & Al Drive, Clearlake Oaks",Bruner Fire,2013-11-23T12:04:00Z,0.000121891
119,50,2013,Siskiyou,2013-08-15T17:00:00Z,"Cottonwood Creek Rd., 2 miles north of Hornbrook",Cottonwood Fire,2013-08-15T14:40:00Z,0.000121891
120,50,2013,Santa Clara,2013-07-12T17:45:00Z,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",Uvas Fire,2013-07-12T13:09:00Z,0.000121891
121,50,2013,Alameda,2013-07-04T11:30:00Z,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",Grant Fire,2013-07-04T10:00:00Z,0.000121891
122,50,2013,San Luis Obispo,2013-05-25T18:45:00Z,"Homestead Rd & Hwy 41, northeast of Atascadero ",Homestead Fire,2013-05-25T17:35:00Z,0.000121891
123,46,2013,Calaveras,2013-08-19T07:10:00Z,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",Bridges Fire,2013-08-17T10:11:00Z,0.00011214
124,46,2013,Fresno,2013-06-19T08:45:00Z,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",Sierra Fire,2013-06-17T14:41:00Z,0.00011214
125,45,2013,Mendocino,2013-07-23T16:00:00Z,"Hwy 175 & Pratt Ranch Road, East of Hopland ",Pratt Fire,2013-07-23T13:29:00Z,0.000109702
126,44,2013,Ventura,2013-12-11T17:30:00Z, off Happy Camp Canyon Rd near Moorpark,Happy Camp Fire,2013-12-10T02:26:00Z,0.000107264
127,43,2013,Shasta,2013-07-09T15:00:00Z,off Fiddler,Fiddler Fire,2013-07-09T11:59:00Z,0.000104827
128,42,2013,Riverside,2013-06-08T19:00:00Z,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",Viper Fire,2013-06-08T15:37:00Z,0.000102389
129,41,2013,San Mateo,2013-09-07T20:00:00Z,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",Chestnut Fire,2013-09-07T13:55:00Z,1.00E-04
130,40,2013,Santa Clara,2013-12-31T16:00:00Z,off Mount Hamilton Road near Grant Ranch County Park,Grant Fire,2013-12-31T05:30:00Z,9.75E-05
131,40,2013,Orange,2013-10-09T08:00:00Z,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",Baker Fire,2013-10-06T10:52:00Z,9.75E-05
132,40,2013,San Diego,2013-09-28T09:15:00Z,off I-8 & Los Coches Rd near Lakeside,Valley Fire,2013-09-26T17:29:00Z,9.75E-05
133,40,2013,Riverside,2013-08-16T21:00:00Z,Ave 66 and Pierce Street  ,Pierce Fire,2013-08-16T13:31:00Z,9.75E-05
134,40,2013,Siskiyou,2013-07-31T19:25:00Z,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",Trout Fire,2013-07-31T15:25:00Z,9.75E-05
135,40,2013,Riverside,2013-07-20T19:30:00Z,Heacock St & Sandy Glade Ave in Moreno Valley,Heacock Fire,2013-07-19T16:21:00Z,9.75E-05
136,40,2013,Riverside,2013-06-15T08:00:00Z,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",Palmyrita Fire,2013-06-14T13:47:00Z,9.75E-05
137,40,2013,Riverside,2013-05-17T08:30:00Z,"Avenue 54 and Tyler Street, near the community of Coachella",54 Fire,2013-05-16T13:48:00Z,9.75E-05
138,38,2013,El Dorado,2013-08-24T11:45:00Z,off Hwy 193 & Empire Creek Cir near Georgetown,Empire Fire,2013-08-24T14:54:00Z,9.26E-05
139,38,2013,Lake,2013-08-07T18:30:00Z,"Off Bartlett Springs Road near Indian Valley Reservoir, 10 miles northeast of Clearlake Oaks",Indian Fire,2013-08-07T12:35:00Z,9.26E-05
140,38,2013,Alameda,2013-07-06T14:30:00Z,off Fallon Rd & Camino Tassajara near Dublin ,Fallon Fire,2013-07-06T13:09:00Z,9.26E-05
141,35,2013,Fresno,2013-06-13T21:30:00Z,"off McKinley Ave & Academy Ave, north of Sanger ",Michelle Fire,2013-06-13T15:54:00Z,8.53E-05
142,35,2013,San Luis Obispo,2013-05-20T19:10:00Z,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,Cottontail Fire,2013-05-20T15:45:00Z,8.53E-05
143,34,2013,Shasta,2013-08-05T08:17:00Z,"Honey Bee Road, West of Redding",Honey Fire,2013-08-04T18:00:00Z,8.29E-05
144,33,2013,Shasta,2013-11-07T19:45:00Z,"Off Dersch Rd and Hyrax, Millville",Dersch Fire,2013-11-07T16:10:00Z,8.04E-05
145,31,2013,Calaveras,2013-07-23T15:10:00Z,"near the 4500 block of Chuckwagon Drive, Copperopolis",Chuckwagon Fire,2013-07-22T12:34:00Z,7.56E-05
146,30,2013,Lake,2013-09-15T17:14:00Z,near the community of Clearlake,Lakeshore Fire,2013-09-15T19:45:00Z,7.31E-05
147,30,2013,Lake,2013-06-06T07:00:00Z,Lakeshore Drive and Patterson Drive in Clearlake Oaks,Lake Fire,2013-06-05T16:05:00Z,7.31E-05
148,30,2013,San Bernardino,2013-04-22T09:00:00Z,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",Fawnskin Fire,2013-04-20T17:30:00Z,7.31E-05
149,28,2013,Sonoma,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z,6.83E-05
150,28,2013,Solano,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z,6.83E-05
151,28,2013,Lake,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z,6.83E-05
152,28,2013,Colusa,2013-06-14T15:45:00Z,"throughout Sonoma, Solano, Lake & Colusa Counties",Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z,6.83E-05
153,27,2013,Shasta,2013-08-14T20:35:00Z,"Cloverdale Rd. and Dale Rd., Happy Valley, 9 miles SW of Redding",Cloverdale Fire,2013-08-14T15:37:00Z,6.58E-05
154,25,2013,San Diego,2013-07-28T17:50:00Z,Barrett Lake Road and Highway 94,Flume Fire,2013-07-28T09:43:00Z,6.09E-05
155,25,2013,Lake,2013-06-20T13:15:00Z,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",Mount Fire,2013-06-20T14:29:00Z,6.09E-05
156,25,2013,Riverside,2013-05-20T18:50:00Z,Off Sunset Ave & Mesa St in Banning,Cherry Fire,2013-05-20T13:47:00Z,6.09E-05
157,23,2013,Lake,2013-11-24T18:45:00Z,"Off Dam Rd, southeast of Clear Lake",Dam Fire,2013-11-23T14:17:00Z,5.61E-05
158,15,2013,Mendocino,2013-12-30T20:30:00Z,off Refuse Road near Covelo,Refuse Fire,2013-12-30T11:00:00Z,3.66E-05
159,15,2013,Riverside,2013-07-19T19:30:00Z,"Hwy 60 east of Gilman Springs Rd, east of Moreno Valley",Gilman Fire,2013-07-19T17:31:00Z,3.66E-05
160,15,2013,Madera,2013-05-13T09:00:00Z,Off Range Circle Dr in Yosemite Lake,Ranger Fire,2013-05-12T13:02:00Z,3.66E-05
163,97717,2014,El Dorado,2014-10-09T17:20:00Z,Near Pollock Pines,King Fire,2014-09-13T16:32:00Z,0.238217362
164,50042,2014,Siskiyou,2014-08-06T10:00:00Z,Whites Fire approximately 4 miles East of Sawyer Bar<p> Log Fire approximately 6 miles West of Greenview<p>Leef Fire approximately 7 miles Southwest of Callahan. ,July Complex,2014-08-02T09:00:00Z,0.121993852
165,39736,2014,Shasta,2014-08-15T14:00:00Z,8 miles southeast of Fall River Mills,Bald Fire,2014-07-30T20:15:00Z,0.096869583
166,35302,2014,Siskiyou,2014-08-18T09:45:00Z,"Community of Copco, South of Oregon Border",Oregon Gulch Fire (part of the Beaver Complex),2014-07-30T23:00:00Z,0.086060249
167,32496,2014,Siskiyou,2014-09-02T13:00:00Z,"north of Highway 96, off of Beaver Creek Road",Beaver Fire,2014-07-30T00:00:00Z,0.0792197
168,32416,2014,Shasta,2014-08-25T10:00:00Z,12 miles southeast of Burney near Old Station,Eiler Fire,2014-07-31T18:04:00Z,0.079024673
169,14416,2014,San Diego,2014-05-21T17:00:00Z,"Off Interstate 5 at Las Pulgas Rd, north of Oceanside",Pulgas Fire,2014-05-15T14:45:00Z,0.035143747
170,13838,2014,Madera,2014-07-28T14:30:00Z,"Rock Creek Drainage, south of Mammoth Pool Reservoir",French Fire,2014-07-28T05:45:00Z,0.033734681
171,13153,2014,Modoc,2014-08-13T07:00:00Z,North of the community of Day,Day Fire,2014-07-30T19:01:00Z,0.032064768
172,12661,2014,Shasta,2014-07-26T20:00:00Z,"Plantina Road at Bland Road, Igo",Bully Fire,2014-07-11T15:37:00Z,0.030865356
173,12536,2014,Mendocino,2014-09-09T19:30:00Z,Wilderness Lodge and Eel River Canyon area,Lodge Lightning Complex,2014-07-30T06:27:00Z,0.030560628
