,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
526,100,2016,Stanislaus,2016-08-04T07:45:00Z,"Off Diablo Grande Parkway and Morton Davis Circle, 9 miles SW of Patterson ",Diablo Fire,2016-08-03T16:08:00Z,0.000243783
527,100,2016,Monterey,2016-07-23T08:45:00Z,"off Highway 101 and San Antonio River, south of Bradley ",Bradley Fire,2016-07-22T15:15:00Z,0.000243783
528,100,2016,San Diego,2016-07-20T13:45:00Z,"off of El Capitan Truck Trail, south of Ramona ",Feather Fire,2016-07-18T13:08:00Z,0.000243783
529,95,2016,San Benito,2016-07-10T19:30:00Z,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",Mercury Fire,2016-07-09T12:43:00Z,0.000231594
530,91,2016,Butte,2016-05-27T17:00:00Z,"La Porte Road at Dunstone Road, west of Bangor ",Dunstone Fire,2016-05-27T13:43:00Z,0.000221842
531,88,2016,Butte,2016-08-30T18:40:00Z,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",Santos Fire,2016-08-26T15:30:00Z,0.000214529
532,88,2016,Tehama,2016-07-01T17:45:00Z,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",Flores Fire,2016-07-01T13:54:00Z,0.000214529
533,88,2016,Placer,2016-06-21T15:45:00Z,"off Moore Rd and South Dowd Rd, west of Lincoln",Moore Fire,2016-06-21T12:24:00Z,0.000214529
534,87,2016,Sacramento,2016-07-11T06:35:00Z,"off of Scotts Road and Latrobe Road, Rancho Murrieta",Scott Fire,2016-07-10T15:30:00Z,0.000212091
535,86,2016,San Luis Obispo,2016-06-29T17:00:00Z,off Nacimiento Lake Dr. and Frazier Rd.,Frazier Fire,2016-06-27T12:07:00Z,0.000209653
536,85,2016,Madera,2016-08-06T19:50:00Z,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",Grub Fire,2016-08-04T14:13:00Z,0.000207215
537,85,2016,Tuolumne,2016-06-01T19:45:00Z,"off New Peoria Flat Road and Old Melones Road, west of Sonora",Tulloch Fire,2016-05-30T15:10:00Z,0.000207215
538,84,2016,Yolo,2016-07-15T15:40:00Z,"off County Road 86 & County Road 6, west of Dunnigan",Dunnigan Fire,2016-07-15T14:00:00Z,0.000204778
539,83,2016,Calaveras,2016-06-16T10:00:00Z,"off Cheyenne Way, south of Camanche Reservoir ",Cheyenne Fire,2016-06-15T12:46:00Z,0.00020234
540,83,2016,San Benito,2016-06-12T15:45:00Z,"off Old Hernandez Road, five miles east of Pinnacles National Park",Old Fire,2016-06-12T12:45:00Z,0.00020234
541,80,2016,Tehama,2016-08-04T07:50:00Z,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",Baker Fire,2016-08-03T17:27:00Z,0.000195026
542,80,2016,Madera,2016-07-25T19:20:00Z,off Hwy 41 northeast of Coarsegold,Serpa Fire,2016-07-21T12:53:00Z,0.000195026
543,80,2016,Tehama,2016-06-11T16:15:00Z,"off Corning Road and Gaylord Avenue, east of Corning",Hoag Fire,2016-06-11T14:30:00Z,0.000195026
544,78,2016,Ventura,2016-07-15T14:00:00Z,"near Lake Sherwood, southwest of Thousand Oaks",Sherwood Fire,2016-07-13T15:52:00Z,0.000190151
545,75,2016,Shasta,2016-09-12T19:00:00Z,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",Lake Fire,2016-09-10T15:45:00Z,0.000182837
546,70,2016,Fresno,2016-09-24T20:00:00Z,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",Newmark Fire,2016-09-23T12:40:00Z,0.000170648
547,70,2016,Monterey,2016-06-20T18:15:00Z,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",Arroyo Fire,2016-06-18T16:47:00Z,0.000170648
548,70,2016,San Diego,2016-06-07T06:45:00Z,"in the 38000 block of Pala Temecula Road, Temecula",Pala Fire,2016-05-31T13:48:00Z,0.000170648
549,69,2016,Lake,2016-07-22T18:15:00Z,"off Foothill Drive, community of Lucerne",Foothill Fire,2016-07-19T17:16:00Z,0.00016821
550,65,2016,Napa,2016-10-12T18:00:00Z,Dry Creek Road 3 miles west of Yountville,Creek Fire,2016-10-10T16:13:00Z,0.000158459
551,61,2016,Kern,2016-06-12T12:30:00Z,"off Highway 41, one mile east of the county line",Cotton Fire,2016-06-11T15:04:00Z,0.000148708
552,57,2016,Solano,2016-07-22T16:07:00Z,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",Oak Fire,2016-07-22T13:01:00Z,0.000138956
553,57,2016,Calaveras,2016-07-22T19:00:00Z,off Baker St & School St near Copperopolis ,Baker Fire,2016-07-21T15:06:00Z,0.000138956
554,56,2016,Siskiyou,2016-05-21T19:00:00Z,"Old Dump Road/T-3 Road, 2 miles east of Weed",Mill Fire,2016-05-19T15:37:00Z,0.000136518
555,52,2016,Monterey,2016-06-24T18:20:00Z,East of King City,Lowe Fire,2016-06-23T17:57:00Z,0.000126767
556,50,2016,Mendocino,2016-09-15T09:10:00Z,"off of Hwy 101 and Woodruff Rd, north of Laytonville",Ruff Fire ,2016-09-10T14:06:00Z,0.000121891
557,50,2016,San Bernardino,2016-09-09T06:00:00Z,"off of Hwy 138 & Los Flores Rd, south of Hesperia",Spring Fire,2016-09-07T16:53:00Z,0.000121891
