AcresBurned,ArchiveYear,Latitude,Longitude,Injuries,PersonnelInvolved,PercentContained,StructuresDestroyed,Severity
20292,2013,33.86157,-116.90427,26,2106,100,40,0.088364012
11429,2013,40.04263,-121.85397,5,898,100,0,0.049768987
8073,2013,40.498332,-122.535496,6,342,100,201,0.035154872
7055,2013,32.95435,-116.47381,12,2147,100,149,0.030721866
6965,2013,40.190062,-121.595555,6,1811,100,0,0.03032995
4346,2013,34.7861,-118.9411,4,847,100,0,0.018925192
4346,2013,34.7861,-118.9411,4,847,100,0,0.018925192
3505,2013,38.8167,-122.8498,6,188,100,1,0.015262954
3166,2013,34.288877,-116.941311,2,726,100,1,0.013786737
3111,2013,37.90757,-121.882582,0,231,100,0,0.013547232
2781,2013,33.12111,-116.52579,5,911,100,0,0.012110207
2462,2013,39.446268,-121.38236,5,1484,100,7,0.010721082
1708,2013,37.58202,-119.91071,1,112,100,0,0.007437696
1271,2013,33.04458,-116.5209,6,1217,100,0,0.005534726
712,2013,34.882,-118.9194,5,502,100,0,0.003100492
534,2013,34.071556,-117.048397,0,282,100,0,0.002325369
406,2013,36.602575,-118.01651,2,476,100,0,0.001767977
376,2013,38.628,-122.289,0,4,100,0,0.001637338
305,2013,39.439,-121.497,0,259,100,4,0.00132816
263,2013,32.710918,-116.746023,2,294,100,0,0.001145266
217,2013,39.514139,-122.560862,0,221,100,0,0.000944953
196,2013,40.5445,-121.3754,0,347,100,0,0.000853506
190,2013,38.382,-122.311,0,150,100,1,0.000827378
125,2013,38.638828,-122.655616,0,249,100,0,0.000544328
120,2013,38.882214,-122.567525,0,285,100,1,0.000522555
92,2013,39.6612,-121.50354,2,80,100,0,0.000400625
80,2013,39.731878,-121.713938,1,35,100,0,0.00034837
75,2013,37.169379,-119.75636,0,221,100,0,0.000326597
75,2013,34.1834,-117.4408,1,292,100,1,0.000326597
51,2013,35.457978,-120.751555,0,219,100,0,0.000222086
46,2013,38.06231,-120.45233,2,169,100,0,0.000200313
40,2013,33.655638,-116.161201,0,65,100,0,0.000174185
32416,2014,40.72,-121.562,11,78,100,21,0.141159462
13153,2014,41.1336,-121.2144,7,297,100,6,0.057276357
6488,2014,38.512,-122.104,5,87,100,0,0.028252795
4300,2014,38.664,-122.454,4,0,100,9,0.018724879
4300,2014,38.664,-122.454,4,0,100,9,0.018724879
4240,2014,38.5691,-120.7819,2,40,100,67,0.018463602
4240,2014,38.5691,-120.7819,2,40,100,67,0.018463602
2143,2014,34.169346,-117.547374,3,583,100,0,0.009331957
1995,2014,33.1137,-117.1599,3,514,100,40,0.008687473
1548,2014,33.003,-117.133,3,211,100,0,0.006740957
1469,2014,41.489,-120.904,0,427,100,0,0.006396941
1375,2014,40.7101,-122.171,4,169,100,4,0.005987607
632,2014,34.609,-120.454,0,548,100,0,0.002752122
612,2014,37.3433,-119.6581,3,188,100,47,0.002665029
580,2014,40.7412,-122.946,2,46,100,1,0.002525681
516,2014,41.42384,-122.37432,1,453,100,165,0.002246986
320,2014,37.311915,-119.604124,4,90,100,69,0.001393479
247,2014,39.113682,-120.999508,0,53,100,0,0.001075592
217,2014,33.078948,-116.576454,4,91,100,3,0.000944953
